i rad_of_gyr
1 5.741346205175206
2 5.744273932263589
3 5.809523415598629
4 5.691911750959112
5 5.62141695598974
6 5.648689800610467
7 5.69239758342572
8 5.79481437901318
9 5.644625789632822
10 5.812643461587284
11 5.688086163042635
12 5.806536354980757
13 5.755827994346455
14 5.8240570317358715
15 5.825993106275218
16 5.910591484961937
17 5.817813082546318
18 5.784330442526595
19 5.721023060776678
20 5.850738065470698
